created_at,language,likes,retweets,text
6/14/2020 20:34,en,198365,49532,Does anyone notice how little the Radical Left takeover of Seattle is being discussed in the Fake News Media. Thatâ€¦ https://t.co/FZWCrLQ1y4
6/14/2020 14:23,und,108839,26338,https://t.co/gjBMFDbUps
6/14/2020 14:22,en,0,12586,RT @DeptofDefense: First to fight! Happy birthday to the @USArmy. Fighting â€˜til the battle is won. Thank you for rolling along for 245 yearâ€¦
6/14/2020 14:22,en,0,17611,"RT @USArmy: Today, we recognize 245 years of bravery, commitment, skill and answering the call to serve. 

We are America's Army.

#ArmyBdaâ€¦"
6/14/2020 13:18,en,0,25909,"RT @ErrolWebber: America is better for having you as @POTUS, @realDonaldTrump!

#HappyBirthdayTrump https://t.co/Rv1eD10sqA"
6/14/2020 13:15,en,0,20513,"RT @mikandynothem: Happy Birthday Mr. President!
America is blessed beyond measure to have you in the White House. You're promoting all thaâ€¦"
6/14/2020 13:15,en,99677,16823,Thank you Philip! https://t.co/jGspqbtSgL
6/14/2020 13:12,en,64288,16478,"Michael Moore: Iâ€˜m â€˜Beggingâ€˜ Dems -- Donâ€˜t Underestimate White Male Trump Supporterâ€˜s â€˜Rage,â€˜ â€˜Emotionâ€˜â€¦ https://t.co/Nea09C1mUp"
6/14/2020 3:39,en,0,9472,"RT @markknoller: ""You became brothers &amp; sisters pledging allegiance to the same timeless principles, joined together in a common mission: tâ€¦"
6/14/2020 3:39,en,0,6185,"RT @markknoller: Pres begins Commencement Address to graduating cadets, â€œWe are here to celebrate your achievements, and great achievementsâ€¦"
6/14/2020 3:38,en,0,7824,RT @markknoller: Pres escorted on stage and salutes as Star Spangled Banner is played. https://t.co/b44djk1rlD
6/14/2020 3:37,en,0,8393,"RT @markknoller: Pres Trump and Gen Williams giving more than 500 salutes to members of the Class of 2020, most of the 1,107 grads receivinâ€¦"
6/14/2020 3:27,en,0,12018,"RT @GoArmyWestPoint: Flyover + Hat Toss = Celebration.

#GoArmy | #USMA2020 | #WithVisionWeLead https://t.co/SJMDIxoBon"
6/14/2020 3:26,en,123096,23557,A great day at West Point! https://t.co/oJyXsI8RG6
6/14/2020 2:57,en,283329,44489,"The ramp that I descended after my West Point Commencement speech was very long &amp; steep, had no handrail and, mostâ€¦ https://t.co/lhdZUXSWee"
6/13/2020 22:52,en,0,8813,"RT @SenatorTimScott: Despite the challenges ahead of us, we are still the greatest. I'm very optimistic we will find a path forward. #JUSTIâ€¦"
6/13/2020 22:47,en,0,14199,RT @AmberSmithUSA: Fantastic and motivating speech by @realDonaldTrump to the West Point Class of 2020. Congratulations to the Armyâ€™s newesâ€¦
6/13/2020 22:46,en,0,7056,RT @AlexBerenson: Is it just me or is that the best speech Trump has ever given?
6/13/2020 22:45,en,0,10869,"RT @debrajsaunders: â€œWe will only fight to win.â€
-Trump at West Point"
6/13/2020 21:19,en,0,44841,"RT @mattgaetz: Iâ€™d rather the US not have a soccer team than have a soccer team that wonâ€™t stand for the National Anthem. 

You shouldnâ€™t gâ€¦"
6/13/2020 21:19,en,0,11660,"RT @dcexaminer: ""You shouldnâ€™t get to play under our flag as our national team if you wonâ€™t stand when it is raised.""

@MattGaetz suggestsâ€¦"
6/13/2020 21:17,en,113461,30119,"And it looks like the NFL is heading in that direction also, but not with me watching! https://t.co/aGfBaK7RNA"
6/13/2020 21:13,en,120520,24650,I wonâ€™t be watching much anymore! https://t.co/s8nCg9EJSW
6/13/2020 21:12,en,41562,10332,Tonight at 9:00 P.M. (Eastern). https://t.co/8LYU9GLoTj
6/13/2020 21:09,en,0,11964,"RT @WhiteHouse: ""For the first time in history, half of the senior leaders of the National Security Council are women."" ðŸ‡ºðŸ‡¸  https://t.co/1gâ€¦"
